Brand	Model	NEMA	Body Length (mm)	Step Angle (deg)	Rated Current (A)	Holding Torque (N-cm)	Inductance (mH)	Resistance (ohms)	Rotor Inertia (g-cm^2)	Comments (semicolon separated)
KeliMotor	BJ42D41-14V19	17	60	1,8	2	65	2,8	1,1	128	Preinstalled with GT2 pulley; ELEGOO Centauri A/B; https://s3.devminer.xyz/archive/BJ42D41-14V19%20drawing.pdf
Sanyo Denki	SH1421-5041	17	33	0.9	1	23	8.0	3.3	44	SANMOTION F2; bipolar lead type; dual shaft variant: SH1421-5011; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	SH1421-5241	17	33	0.9	2	23	2.1	0.85	44	SANMOTION F2; bipolar lead type; dual shaft variant: SH1421-5211; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	SH1422-5041	17	39	0.9	1	34	14.0	4.0	66	SANMOTION F2; bipolar lead type; dual shaft variant: SH1422-5011; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	SH1422-5241	17	39	0.9	2	34	3.6	1.05	66	SANMOTION F2; bipolar lead type; dual shaft variant: SH1422-5211; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	SH1424-5041	17	48	0.9	1	48	15.0	4.7	89	SANMOTION F2; bipolar lead type; dual shaft variant: SH1424-5011; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	SH1424-5241	17	48	0.9	2	48	3.75	1.25	89	SANMOTION F2; bipolar lead type; dual shaft variant: SH1424-5211; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	SS2421-5041	17	11.6	1.8	1	8.3	1.2	3.5	15	SANMOTION F2; bipolar lead type; dual shaft variant: SS2421-5011; thin-profile; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	SS2422-5041	17	18.6	1.8	1	18.6	2.9	5.4	28	SANMOTION F2; bipolar lead type; dual shaft variant: SS2422-5011; thin-profile; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	SS2421-50400	17	14.5	1.8	1	8.3	1.2	3.5	15	SANMOTION F2; bipolar lead type; dual shaft variant: SS2421-50100; thin-profile heavy duty; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	SS2422-50400	17	21.5	1.8	1	18.6	2.9	5.4	28	SANMOTION F2; bipolar lead type; dual shaft variant: SS2422-50100; thin-profile heavy duty; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	SF2421-10B41	17	33	1.8	1	29	7	3.6	31	SANMOTION F2; bipolar connector type; dual shaft variant: SF2421-10B11; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	SF2422-10B41	17	39	1.8	1	43	9.6	4.6	46	SANMOTION F2; bipolar connector type; dual shaft variant: SF2422-10B11; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	SF2423-10B41	17	48	1.8	1	56	12.5	5.3	63	SANMOTION F2; bipolar connector type; dual shaft variant: SF2423-10B11; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	103H6701-5040	20	39.8	1.8	2	28	1.6	0.6	57	SANMOTION F2; bipolar lead type; dual shaft variant: 103H6701-5010; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	103H6703-5040	20	51.3	1.8	2	49	3.2	0.8	118	SANMOTION F2; bipolar lead type; dual shaft variant: 103H6703-5010; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	103H6704-5040	20	55.8	1.8	2	52	3.8	0.9	140	SANMOTION F2; bipolar lead type; dual shaft variant: 103H6704-5010; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	SS2501-8040	20	11.4	1.8	1	10	2	4.5	26	SANMOTION F2; bipolar lead type; dual shaft variant: SS2501-8010; thin-profile; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	SS2502-8040	20	16.4	1.8	1	21.5	3.2	5.9	49	SANMOTION F2; bipolar lead type; dual shaft variant: SS2502-8010; thin-profile; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	SM2561C10B41	23	41.8	1.8	1	75	13.5	4.6	140	SANMOTION F2; bipolar connector type; dual shaft variant: SM2561C10B11; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	SM2561C20B41	23	41.8	1.8	2	75	3.5	1.1	140	SANMOTION F2; bipolar connector type; dual shaft variant: SM2561C20B11; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	SM2561C30B41	23	41.8	1.8	3	75	1.5	0.51	140	SANMOTION F2; bipolar connector type; dual shaft variant: SM2561C30B11; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	SM2561C40B41	23	41.8	1.8	4	75	0.85	0.28	140	SANMOTION F2; bipolar connector type; dual shaft variant: SM2561C40B11; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	SM2561C60B41	23	41.8	1.8	6	75	0.38	0.14	140	SANMOTION F2; bipolar connector type; dual shaft variant: SM2561C60B11; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	SM2562C10B41	23	53.8	1.8	1	140	25.5	6.3	280	SANMOTION F2; bipolar connector type; dual shaft variant: SM2562C10B11; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	SM2562C20B41	23	53.8	1.8	2	140	6.5	1.5	280	SANMOTION F2; bipolar connector type; dual shaft variant: SM2562C20B11; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	SM2562C30B41	23	53.8	1.8	3	140	2.9	0.68	280	SANMOTION F2; bipolar connector type; dual shaft variant: SM2562C30B11; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	SM2562C40B41	23	53.8	1.8	4	140	1.5	0.37	280	SANMOTION F2; bipolar connector type; dual shaft variant: SM2562C40B11; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	SM2562C60B41	23	53.8	1.8	6	140	0.72	0.18	280	SANMOTION F2; bipolar connector type; dual shaft variant: SM2562C60B11; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	SM2563C10B41	23	75.8	1.8	1	235	36	8.6	500	SANMOTION F2; bipolar connector type; dual shaft variant: SM2563C10B11; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
Sanyo Denki	SM2563C20B41	23	75.8	1.8	2	235	9.5	2.1	500	SANMOTION F2; bipolar connector type; dual shaft variant: SM2563C20B11; https://www.mouser.de/datasheet/3/971/1/SANMOTION_F2_E.pdf
