Manufacturer	Model	Price	Store Location	Store Link	Step Angle	Max Amperage	Holding Torque	Rotor Inertia	Inductance	Resistance	Weight	Body	Length	Specs Link	COMMENTS		
Motech Motors	1702HS133A	£10.75	UK; Ooznest	https://ooznest.co.uk/product/nema17-stepper-motors/	1.8 deg	1.3 A	32 N/cm	35 g/cm²	2.5 mH	2.10 Ω	220 g	N17	34 mm				
G-Penny	42HS4017A4	£10.79	China; Aliexpress	https://aliexpress.com/item/1005003975016967.html?s	1.8 deg	1.7 A	42 N/cm	54 g/cm²	2.3 mH	1.50 Ω	350 g	N17	60 mm				
Cloudray	17CS07A-180	£10.89	China; Aliexpress	https://aliexpress.com/item/4000934919949.html	1.8 deg	1.8 A	71 N/cm	114 g/cm²	96.0 mH	1.94 Ω	500 g	N17	60 mm				
Stepperonline	17HM19-2004S	£11.19	China; Aliexpress	https://vi.aliexpress.com/item/32585433994.html	0.9 deg	2.0 A	46 N/cm		4.0 mH	1.45 Ω		N17	48 mm				
Motech Motors	1703HS168A	£11.56	UK; Ooznest	https://ooznest.co.uk/product/nema17-stepper-motors/	1.8 deg	1.7 A	44 N/cm	54 g/cm²	3.6 mH	1.65 Ω	280 g	N17	40 mm				
Stepperonline	17HM08-1204S	£11.69	China; Aliexpress	https://vi.aliexpress.com/item/32586028626.html	0.9 deg	1.2 A	11 N/cm		2.2 mH	3.00 Ω	150 g	N17	22 mm				
Unknown	SL42S240A105-0524 	£11.95	UK; 123-3D	https://www.123-3d.co.uk/123-3D-NEMA17-stepper-motor-1-8-degrees-per-step-40mm-long-4-08-kg-cm-SL42S240A105-0524-i3421-t14804.html	1.8 deg	1.2 A	40 N/cm					N17	40 mm				
Unknown	SMNM17S18KG013	£11.95	UK; 123-3D	https://www.123-3d.co.uk/123-3D-NEMA17-stepper-motor-1-8-degrees-per-step-27mm-long-1-33kg-cm-SMNM17S18KG013-i3514-t14804.html	1.8 deg		13 N/cm					N17	27 mm				
Stepperonline	17HM13-0316S	£12.09	China; Aliexpress	https://vi.aliexpress.com/item/32586036944.html?s	0.9 deg	0.3 A	16 N/cm		36.0 mH	38.50 Ω		N17	34 mm				
RATTM	17HS4402	£12.39	China; Aliexpress	https://aliexpress.com/item/1005008164168858.html	1.8 deg	1.3 A	40 N/cm	54 g/cm²	5.0 mH	2.50 Ω	280 g	N17	40 mm				
Stepperonline	17HS24-2104S	£12.49	China; Aliexpress	https://aliexpress.com/item/32912617784.html	1.8 deg	2.1 A	65 N/cm	148 g/cm²	3.0 mH	1.60 Ω	500 g	N17	60 mm				
Motech Motors	1403HS100A	£12.50	UK; Ooznest	https://ooznest.co.uk/product/nema14-stepper-motors/	1.8 deg	1.0 A	18 N/cm	14 g/cm²	4.0 mH	2.70 Ω	190 g	N14	34 mm				
Motech Motors	1704HS168A	£12.65	UK; Ooznest	https://ooznest.co.uk/product/nema17-stepper-motors/	1.8 deg	1.7 A	55 N/cm	68 g/cm²	2.8 mH	1.65 Ω	350 g	N17	48 mm				
Unknown	SL42S225MA2B-0526	£12.75	UK; 123-3D	https://www.123-3d.co.uk/123-3D-NEMA17-stepper-motor-0-9-degrees-per-step-27mm-long-1-33kg-cm-SL42S225MA2B-0526-i2792-t14804.html	0.9 deg	1.4 A	13 N/cm			2.00 Ω	285 g	N17	27 mm				
Cloudray	17CS05A-180E	£12.79	China; Aliexpress	https://vi.aliexpress.com/item/1005001309616760.html	1.8 deg	1.8 A	52 N/cm	82 g/cm²	5.8 mH	2.40 Ω	372 g	N17	48 mm				
Stepperonline	17HM15-0904S	£12.99	China; Aliexpress	https://vi.aliexpress.com/item/32860488952.html?	0.9 deg	0.9 A	36 N/cm		12.0 mH	6.00 Ω	280 g	N17	40 mm				
RATTM	17HS4401J	£13.09	China; Aliexpress	https://aliexpress.com/item/1005008856573316.html	1.8 deg	1.7 A	45 N/cm	54 g/cm²	3.2 mH	1.70 Ω	280 g	N17	40 mm				
G-Penny	42HS4825A4	£13.19	China; Aliexpress	https://aliexpress.com/item/1005003975070588.html	1.8 deg	2.5 A	50 N/cm	68 g/cm²	1.8 mH	1.60 Ω	450 g	N17	48 mm				
RATTM	7PM-F448CN01CN	£13.29	China; Aliexpress	https://aliexpress.com/item/1005008164267597.html	1.8 deg	1.3 A	54 N/cm		6.6 mH	3.50 Ω		N17	48 mm				
Unknown	SL42S247A 	£13.50	UK; 123-3D	https://www.123-3d.co.uk/123-3D-NEMA17-stepper-motor-1-8-degrees-per-step-47mm-long-5-0-kg-cm-SL42S247A-i2210-t14804.html	1.8 deg	2.5 A	50 N/cm				360 g	N17	47 mm				
Unknown	SL42S248MA108-0524	£13.50	UK; 123-3D	https://www.123-3d.co.uk/123-3D-NEMA17-stepper-motor-0-9-degrees-per-step-48mm-long-4-2kg-cm-SL42S248MA108-0524-i3420-t14804.html	0.9 deg	1.7 A	42 N/cm			1.80 Ω		N17	48 mm				
Unknown	SL42S234MA107-0524	£13.50	UK; 123-3D	https://www.123-3d.co.uk/123-3D-NEMA17-stepper-motor-0-9-degrees-per-step-34mm-long-2-1kg-cm-SL42S234MA107-0524-i3423-t14804.html	0.9 deg	1.2 A	21 N/cm					N17	34 mm				
Unknown	SL42S248A102-0524	£14.50	UK; 123-3D	https://www.123-3d.co.uk/123-3D-NEMA17-stepper-motor-1-8-degrees-per-step-48mm-long-4-8-kg-cm-SL42S248A102-0524-i3422-t14804.html	1.8 deg	2.5 A	48 N/cm			1.20 Ω		N17	48 mm				
Stepperonline	17HM19-1684S	£14.59	China; Aliexpress	https://vi.aliexpress.com/item/32860153598.html?	0.9 deg	1.7 A	44 N/cm		4.1 mH	1.65 Ω	370 g	N17	47 mm				
Motech Motors	1702HSM133A	£14.94	UK; Ooznest	https://ooznest.co.uk/product/nema17-stepper-motors/	0.9 deg	1.3 A	25 N/cm	35 g/cm²	2.5 mH	2.10 Ω	220 g	N17	34 mm				
LDO	42STH40-1684AC	£14.95	UK; Onetwo3d	https://www.onetwo3d.co.uk/product/ldo-stepper-motor-42sth40-1684ac/	1.8 deg	1.68 A	45 N/cm	53 g/cm²	3.6 mH	1.65 Ω	350 g	N17	40 mm	https://github.com/LDOMotors/ldo-stepper-datasheets/blob/master/nema17%2842mm_frame%29/LDO-42STH48-1684AC%20RevA.pdf			
Keli Motor	BJ42D29-100V02	£14.99	UK; Second-Hand	https://www.ebay.co.uk/itm/376244780729	1.8 deg							N17			Bambulabs P1/X1 XY motor; Has press-fit pulley		
Keli Motor	BJ42D22-23V47	£14.99	UK; Second-Hand	https://www.ebay.co.uk/itm/376241462856	1.8 deg							N17			Bambulabs P1/X1 Z motor; Has press-fit pulley		
Hanpose	42HS60-HCZ	£14.99	China; Aliexpress	https://aliexpress.com/item/1005009239489371.html	1.8 deg	1.8 A	70 N/cm	72 g/cm²	5.4 mH	2.30 Ω	450 g	N17	60 mm				
Motech Motors	1703HSM168A	£15.55	UK; Ooznest	https://ooznest.co.uk/product/nema17-stepper-motors/	0.9 deg	1.7 A	35 N/cm	54 g/cm²	3.6 mH	1.65 Ω	280 g	N17	40 mm				
